title,newspaper,url,published_at,plain_text,keyword,relevance_score,source,mh_matches,covid_matches
Botón de pausa,eldiario.es,https://www.eldiario.es/canariasahora/canariasopina/Boton-pausa_6_1002359792.html,2020-03-04 23:15:00+00:00,"Hace unos días The New York Times promocionaba un artículo de un periodista que se estrenaba en el medio con una crítica hacía el mismo, un nivel de autocrítica al que todavía no hemos llegado en España. Algunas compañeras periodistas decidieron compartirlo en redes a raíz del debate sobre la decisión del El País de lanzar una suscripción digital. En esa espiral muchos lectores se quejaban en redes de que los medios solo se nutren del famoso clickbait, esa técnica de poner un titular llamativo y contar todo lo contrario de lo que se anuncia en el titular. Se señalaba como posible solución la creación de un Spotify informativo, donde el lector pudiera leer a la carta. Todo esto pasaba mientras se transmitía el minuto a minuto con el coronavirus en la mayoría de los medios de comunicación.

El coronavirus se ha convertido en la infección de la que de repente todo el mundo tiene pánico y de la que todo el mundo puede hablar. En redes sociales, en WhatsApp o en el trabajo, porque todas y todos “somos expertos en todo”. Cada vez relativizamos menos y tenemos menos ganas de atribuir contexto a los problemas complejos o simplemente en soltar un “no sé”. Vivimos enganchadas en el minuto a minuto, en la última hora de Ferreras y no nos tomamos tiempo para asimilar la información, para digerir, para asumir que no tenemos por qué tener una opinión tajante. Las redes se han convertido en un enorme submundo repleto de alarmismo.

Está claro que el ritmo frenético al que estamos acostumbradas y acostumbrados a vivir no es una razón que justifique la barra libre en el periodismo. Pero es responsabilidad de la ciudadanía mantener esa línea de autocrítica con casos como los del coronavirus. No es la primera vez que en España el Ministerio de Sanidad se enfrenta a algo desconocido, recordemos la crisis del ébola o la gripe A. Por eso no debemos tomarnos cada caso de coronavirus como si fuera una crisis que va a erosionar el planeta por la mitad.

El coronavirus no es el único caso en el que se percibe ese nivel de ‘alerta’. Otro ejemplo de ello es como, por ejemplo, programas como el de Ana Rosa Quintana o Espejo Público abren debates ilógicos sobre cuestiones en las que la mayoría de las personas, excepto Iván Espinosa de Los Monteros, estamos de acuerdo. Debates sobre los toros, la televisión pública, los giros de Podemos o los de Cayetana Álvarez de Toledo. Las redes sociales son una ruleta rusa que debemos saber gestionar. Son muchas las ocasiones en las que mi salud mental agradece no entrar al debate, silenciar el último mensaje de WhatsApp, darle al botón de pausa y seguir viviendo.","covid, coronavirus, pandemia",30.0,GDELT,salud mental,coronavirus
Coronavirus y niños : ¿ Qué contar y cómo ? ,eldiario.es,https://www.eldiario.es/nidos/Coronavirus-ninos-contar_0_1002650625.html,2020-03-07 22:45:00+00:00,"Coronavirus y niños: ¿Qué contar y cómo?

Es, sin duda, el monotema. Solo con encender el televisor o la radio vemos que el pánico se ha propagado más rápido que COVID-19. Nuestros hijos e hijas no son ajenos al alarmismo y las preguntas sobre el coronavirus se multiplican en familias incluso con niños muy pequeños. ¿Cómo hablarles de esta enfermedad? ¿Qué pautas podemos darles? Hablamos con la médica de SAMU-Asturias Marta Nonide, con Marián García, conocida como Boticaria García, doctora en farmacia y profesora de la Universidad Isabel I, y con el psicólogo Alberto Soler para poner un poco de orden en medio del alarmismo.

“Mis hijos anoche mismo me decían que habían oído que se ha muerto una niña de cuatro años. Hay que hablar con ellos para desmentir todas esas informaciones y decir que como es un virus nuevo la gente se ha puesto nerviosa y hay mucha gente diciendo cosas que no son verdad, que tiene que preguntar a mamá a papá o a las profes”, cuenta Marián García. Precisamente el psicólogo Alberto Soler señala que para empezar a dar información, “lo mejor es esperar a que los niños nos hagan preguntas. No vamos a dar más información de la que nos piden ni de la estrictamente necesaria”. Para Soler, el mensaje principal que tenemos que transmitir a nuestros hijos ante sus preguntas sobre el coronavirus “es la calma”.

Marta Nonide, sanitaria, cuenta que en su casa ya se ha hablado mucho del coronavirus: “En los niños hay más curiosidad que agobio, sobre todo si los adultos que estamos a su lado no les transmitimos ningún tipo de temor”. A la médica asturiana sus hijos ya le han preguntado qué es el coronavirus y por qué la gente está tan asustada. Y ella empieza tratando de quitarles el miedo, recalcando que “esto no es tan sumamente especial ni tan sumamente horrible. Les explico que es un virus que viene de los animales como muchos otros que hay por ahí, porque de momento no se ha acabado el mundo y esto ha pasado muchísimas veces. Me preguntan por qué tanta alarma y les explico que porque hay gente que se pone muy malita. Me preguntan quiénes se mueren y les explico que la gente muy mayor y la gente muy enferma”.

Reconoce que sus hijos han tratado de saber qué pasaría si se contagiara y les señala que “habrá que hacer lo que nos manden. Y hasta que no nos lo manden pues no hay nada que hacer”. En niños muy pequeños, Nonide recomienda “abordar este tema, si preguntan, como un virus más. Se les puede contar que es un bichito que se te ha metido dentro y te hace estar mal y mientras esa persona está mal pues hay que cuidarla y puede que los médicos piensen que es mejor que esté en el hospital y hay que intentar acercarse lo menos posible y molestarle lo menos posible para que esté tranquila. No te van a preguntar mucho más”.

García nos invita a hablar a nuestros hijos de esta nueva enfermedad recordando “cuando tuviste la gripe, cuando tuviste fiebre o cuando tenías problemas que no podías respirar muy bien” y concluir que esto sería algo parecido. Los expertos consultados se muestran tajantes: nada de exponer a los niños a informaciones sobre la epidemia en los medios de comunicación. Como señala García, “ver las noticias con los niños pequeños ahora mismo no les hace ningún bien, porque las noticias son un monotema con imágenes muy agresivas, con mascarillas, hospitales, camillas envueltas en plásticos...y esto genera mucho miedo e inseguridad”.

El alarmismo por este virus puede tener algo bueno, como coinciden las tres personas entrevistadas. Y es que por fin reconozcamos la importancia de medidas de prevención básica. “El lavado de manos es imprescindible y no lo hace casi nadie. Las protecciones respiratorias entre sanitarios y pacientes tampoco a veces se hacen bien porque lo hemos banalizado. Y la gente va a trabajar con fiebre y el virus termina llegando a una persona a la que puede matar”, lamenta Nonide.

“Tal vez esta crisis del coronavirus sirva para ponernos en esta perspectiva de prevención”, señala. Marián García pone también una nota positiva: nuestros hijos e hijas “tienen que saber que la OMS subraya que el lavado de manos es la mejor medida para prevenir contagio”. Quizá, la próxima vez que les digamos que se laven las manos “no les entre por un oído y le salga por el otro”.

Además, invita a aprovechar la ocasión para hablar de las vacunas. “Muchas veces los niños tienen miedo a las vacunas y se les puede decir que precisamente la gente se ha puesto muy nerviosa porque no hay vacuna, a diferencia del sarampión o la varicela u otras enfermedades”.

Frente a la vorágine de información alarmista, Alberto Soler ve que esta “es una ocasión magnífica para poder contribuir a fomentar el pensamiento crítico”, no solo entre niños sino también entre adultos. Por eso, recomienda, “informarnos de fuentes fiables. No podemos dejarnos llevar por rumores ni por noticias en medios que suene la alarma o que deforman la realidad”. Incluso, invita Marián García, podemos enseñar a los niños cómo buscar información de fuentes fiables. “Podemos enseñarles la página de la OMS y del Ministerio de Sanidad porque han publicado infografías con dibujitos sobre cómo lavarse las manos”.

El alarmismo por el virus está mostrando una cara poco amable y bastante fea. El robo de mascarillas, el racismo hacia personas de origen asiático o el amarillismo de algunos medios nos ponen frente a una realidad que nuestros hijos e hijas ven y ante la cual podemos aprovechar para educar. Así lo ve Alberto Soler: “Si hablamos del robo de mascarillas podríamos preguntarles: '¿A ti eso qué te parece? ¿Qué consecuencias podría tener?', evitando el sermón moralizante y lanzando una pregunta y esperar a ver qué nos contesta. Que hagan ellos su reflexión, no que la hagamos nosotros”. Frente al racismo, Alberto recuerda que esta “es otra ocasión para enseñar a nuestros hijos que los virus no entiende país ni de nacionalidad. Que todas las personas somos exactamente iguales y tenemos los mismos derechos”.

En resumen, Nonide subraya cuál está siendo su cometido estos días en medio de la vorágine: “Estamos intentando poner un poco de cordura o de ordenar las cosas que nos van contando de manera que al menos se entiendan y no sean informaciones sueltas alarmistas sin sentido”. Tal vez sea buena idea ponernos esto como tarea también en la familia.","covid, coronavirus, pandemia",100.0,GDELT,psicologo;psicólogo,covid;covid-19;coronavirus
Voces femeninas : desde la China más profunda,lavanguardia.com,https://www.lavanguardia.com/cultura/culturas/20200308/473975659693/libros-feminismo-china-lin-bai.html,2020-03-08 07:00:00+00:00,"Ha querido la casualidad que en medio de la crisis por el coronavirus nos llegue un libro procedente del mismo corazón de la provincia de Hubei, origen de la epidemia, y una de las zonas rurales hasta ahora más desconocidas del gigante asiático. Lo hace de la mano de Lin Bai (Beiliu, 1958), autora de referencia en China, que junto a la escritora Chen Ran, abanderan desde los años noventa la nueva corriente de literatura femenina y feminista en China.

Habladuría de mujeres es un mosaico antropológico de la vida en el campo desde el punto de vista de las mujeres, aspecto muy poco visitado por la literatura del país; de ahí su interés. Además, está escrito con la frescura y la espontaneidad del lenguaje oral; de ahí su riqueza. Cotilleos, habladurías, creencias, recuerdos... que la autora traslada al papel, sin filtros, simulando ser una mera transmisora de conversaciones ajenas, “con el mismo tono, la misma viveza y simplicidad del lenguaje hablado, con su brillantez y su encanto”.

La obra retrata un mundo en el que conviven prostitución, infidelidades, supersticiones y tradiciones chinas

Se trata de una obra publicada en 2005, la última de la autora, que vino a continuar un proyecto de escritura femenina que comenzó en 1994 con Una guerra personal y Todo florece (2003), ambas sin traducción en España y por las que se ha bautizado a la autora como una de las que mejor ha retratado la China post-Mao. En Habladuría de mujeres, pero, abandona la senda de la prosa literaria para adentrarse en la lengua hablada como género, dando como resultado “la más sencilla” de sus novelas, en palabras de la propia Lin Bai, pero también “la que da más sensación de realidad”, donde se sirve de mujeres de origen rural con vidas en apariencia vulgares para crear un discurso biográfico único.

Utiliza como narradora a un personaje ficticio, Mu Zhen, a través de la cual deja que las mujeres se expresen por sí mismas. Y así nos adentramos en un mundo totalmente ajeno para estas latitudes lleno de infidelidades y segundas esposas, donde la prostitución es consentida y contemplada como única vía de supervivencia de las chicas del campo en la ciudad. Un mundo obsesionado por el juego y las apuestas –el mahjong parece ser el deporte nacional que practican hombres y mujeres a todas horas–, lleno de supersticiones –la narradora miente continuamente sobre el año de su nacimiento porque eso la haría tener 40 años y ese es un número de muy mala suerte– y de tradiciones como tirar fuegos artificiales la noche del Año Nuevo chino o la de cortar el pelo a los moribundos.

La novela abandona la prosa literaria y apuesta por la frescura y la espontaneidad del lenguaje oral

Lin Bai nos habla de ausencias, enfermedades, avaricia, maltrato, suicidio, sueños, hijos, hijas... de sexualidad y también de uno de los temas que más impactan en el libro, como es el del asesinato masivo, sobre todo de niñas, que estuvo vigente en China entre 1979 y el 2015 para cumplir la política de hijo único. El capítulo Recoger una niña abandonada es sólo el ejemplo de una atrocidad que ha marcado a toda una generación de chinos, sobre todo a sus mujeres, muchas de ellas supervivientes.","covid, coronavirus, pandemia",40.0,GDELT,suicidio,coronavirus
Mujeres a pie de calle contras las violencias machistas,lavanguardia.com,https://www.lavanguardia.com/vida/20200308/474020583847/mujeres-8-m-profesionales-capdevila-valenzuela-avellaneda-echevarria-vazquez.html,2020-03-08 10:30:00+00:00,"La doctora Lluïsa Garcia-Esteve lleva un lazo lila en su bata blanca. Podría parecer que se lo ha puesto porque hoy es 8-M, día Internacional de la Mujer, pero lo lleva siempre. Es un símbolo de que en su día a día al frente de la Comisión de Violencia Intrafamiliar y de Género del hospital Clínic, que ella preside, se aplica desde el principio hasta el final la perspectiva de género. Porque esta es la única vía posible para dar una respuesta válida a las víctimas de agresiones sexuales, desde que una mujer llega hasta años después si es necesario.

El Clínic es el centro de referencia en Barcelona en la atención a las personas que han sido agredidas sexualmente, y allí también trabaja Teresa Echevarría, coordinadora de urgencias de noche y miembro de la Comisión de Violencia. Mujeres a pie de calle en la lucha contra las violencias machistas porque al margen de los debates, de las polémicas políticas sobre leyes, de las cifras, ésta es una dura realidad que golpea cada día. Y muchas mujeres hacen de su profesión un combate para acabar con ella.

Ruth Capdevila es la directora del Servei d’Atenció Recuperació i Acollida (SARA) del Ayuntamiento de Barcelona, Carmen Valenzuela es diputada de la Junta del Col.legi de l’Advocacia (ICAB) y responsable del turno de oficio, Judith Avellaneda es caporal de la Unitat Central d’Atenció a la Víctima dels Mossos d’Esquadra. Cada una trabaja desde un ámbito diferente, pero hay un hilo conductor en su análisis de la situación y en cómo hay que afrontar el día a día. En la sociedad, explica Capdevila, cada vez hay más conciencia de que la violencia machista existe, que es un problema estructural y hay un cambio de mentalidad que está llevando a las mujeres a revelarse y a buscar la ayuda antes.

“Aquí, en nuestro servicio –indica– no se pone en duda el relato de las mujeres que llegan”. Es un servicio de urgencia que atiende a toda las mujeres que con situaciones de alto y medio riesgo de violencia machista acuden en busca de ayuda. Desde el SARA se analiza su situación y es la puerta de acceso a todo tipo de servicios de apoyo y de acogida.

El Clínic es el centro de referencia en Barcelona en la atención a las personas que han sido agredidas sexualmente

La Vanguardia convocó el viernes a estas cinco profesionales que se arremangan contra la violencia machista para conocer su trabajo y para ilustrar la lucha de este 8-M, dos años después de la gran eclosión en España del movimiento feminista. El coronavirus empieza siendo el tema de conversación porque median los saludos y porque vienen dos representantes del hospital Clínic. Pero enseguida, y de forma natural, la charla se dirige hacia sus profesiones, y se crea una especie de networking para intentar mejorar los aspectos que fallan en el abordaje de estas violencias.

Sale alguna reunión de trabajo para coordinar y ampliar estrategias en un futuro próximo. Y se intercambian teléfonos.

La violencia machista no distingue ni de profesiones ni de clases sociales, subraya la abogada Carmen Valenzuela, que atiende a víctimas y agresores. “Seguimos con un problema educacional importante –explica- sí que es cierto que la sociedad está más concienciada, pero aún no detecto grandes cambios en esta última década”.

“Las órdenes de protección no funcionan, los juicios se han de señalar con más celeridad porque si se celebran pasados ocho meses hay muchas víctimas que desisten, los hombres agresores ejercen un gran chantaje emocional, sigo viendo mucho machismo …”. No se trata tanto de cambiar las leyes como de cambiar una cultura machista. “Tenemos que abrir todos los ojos –pide la abogada–, podemos tener la violencia al lado y hay que saber verla,detectarla. Al menos, esto sí que va cambiando”.

La forma de atender a las víctimas de agresiones sexuales ha cambiado si se echa la vista atrás, al menos a manos de estas mujeres que abren camino. No hace tanto que se empieza a entender el carácter estructural de las violencias machistas, los ataques a las mujeres por el hecho de serlo.

Ahora, explica Echevarria, se da un apoyo integral que también incluye dar seguridad, tranquilidad y confort a las mujeres que llegan al hospital. Y, sobre todo, se las cree. Se cuida también el aspecto psíquico y se les ofrece lo que necesitan si quieren presentar denuncia. “Nosotras –indica– somos las responsables de que todo el equipo, que es un equipo móvil porque trabaja en urgencias sepa tratar a la víctima, nos hemos de autoevaluar”.

En el Clínic se atienden a unas 500 personas al año que han sido agredidas sexualmente. El 90% son mujeres y el 100% de los agresores son hombres. Un 30% de las agredidas ha sufrido sumisión química. Desde que se conoció la violación en grupo de la Manada de Pamplona y la primera sentencia, explica Garcia-Esteve, han caído en picado las denuncias (del 80% al 60%).

De todas maneras, esta doctora en Psiquiatra considera que ha habido un cambio importante de mentalidad desde que cuajó el movimiento #MeToo y las mujeres son conscientes de lo que es un delito y, sobre todo, que no son ellas las “culpables” –por cómo visten, por si era de noche, por...– si no que es el agresor.

Lo que quiere subrayar Garcia-Esteve es que hay que trabajar para que quien ha sido agredida recupere su “salud integral”. “Hay un daño físico, pero su cerebro también ha sido agredido, la salud de esta persona está en juego, y también está en juego su futuro”, indica. Se han vulnerado sus derechos, sí, pero también su salud física y su salud mental. Son agresiones a la integridad de las mujeres.

En el Clínic se atienden a unas 500 personas al año que han sido agredidas sexualmente. El 90% son mujeres y el 100% de los agresores son hombres

Por ello, las dos profesionales del Clínic señalan que la perspectiva de género de todas las personas implicadas en la atención, porque si no es así de poco sirve.

Y la doctora lo dice para que no se piense que las mujeres son superwomen, para que no crean que deben ser valientes y superarlo todo. La violencia deja huella y es necesario un acompañamiento en el camino. Un 60% de las personas agredidas sufrirá algún tipo de estrés postraumático y las puertas del Clínic siempre seguirán abiertas.

Hablar de denuncias, de curas físicas y psíquicas, de apoyo, de detenciones, de escapar del sufrimiento y volver a recuperar la vida es hacerlo de estas profesionales. En Catalunya, explica Avellaneda hay 174 mossas y mossos que se dedican a la violencia machista y, al igual que todas, pone el acento en la educación de la sociedad, y de los niños.

Pero mientras se empuja el cambio de mentalidades, con todas la oposición que el machismo ejerce, hay que actuar cada día. Este año 2020, a fecha de 2 de marzo, han sido asesinadas 20 mujeres ha manos de sus parejas o exparejas. En el servicio de atención del Ayuntamiento se trabaja a fondo para que esto no suceda. Se ha doblado el presupuesto y se da alojamiento a todas las mujeres que lo necesitan.

Colaboramos, explica Capdevila, con otras ciudades en Catalunya porque es necesario en muchas ocasiones que ellas cambien su lugar de residencia para que el agresor no las encuentre. También hay convenios con otras autonomías, porque hay casos que requieren incluso salir de Catalunya. Y también en Barcelona se da acogida a mujeres que llegan de otros puntos en busca de un lugar en el que poder escapar y empezar a construir una nueva vida.

Para que cambien las mentalidades hay que empujar y la lucha contra las violencias machistas es el gran hilo conductor del feminismo y de nuevo de este 8-M. Va cuajando un cambio social y, como señala Ruth Capdevila, hay que valorar el trabajo de las que están a pie de calle. No lo dice por ella, pide expresamente que cite a su “equipazo”. Se trabaja con mujeres que viven situaciones muy duras, pero también cada vez hay más mujeres que se mueven anónimas por las calles de la ciudad dispuestas a cambiar el mundo con su quehacer diario.","covid, coronavirus, pandemia",10.0,GDELT,salud mental;psiquiatra,coronavirus
